KF3 log
z Pzz v Pvv abias Pbb
90741.0 92.3 0.0 436.0 0.0 400.0
90741.4 52.3 0.1 471.9 -0.0 400.0
90741.3 36.6 -0.1 507.2 0.0 400.0
90742.4 28.4 0.5 541.4 -0.0 400.0
90740.8 23.6 -1.2 573.7 0.1 400.0
90741.1 20.5 -0.7 603.3 0.0 400.0
90740.3 18.5 -2.0 629.6 0.1 399.9
90738.4 17.2 -6.2 651.8 0.4 399.9
90740.0 16.5 -1.1 669.2 0.1 399.7
90741.9 16.1 5.0 681.6 -0.5 399.5
90746.6 16.0 21.0 688.6 -2.0 399.3
90745.3 16.1 12.3 690.5 -1.3 399.0
90744.9 16.3 11.1 687.7 -1.1 398.6
90745.6 16.6 12.5 680.8 -1.2 398.1
90743.9 16.9 3.8 670.5 -0.3 397.5
90744.7 17.2 6.7 657.8 -0.7 396.8
90748.9 17.4 24.2 643.5 -2.8 396.0
90749.6 17.6 25.0 628.4 -2.9 395.2
90748.6 17.8 18.5 613.1 -2.1 394.3
90748.7 17.9 17.2 598.2 -1.9 393.4
90749.2 18.0 17.6 584.0 -2.0 392.4
90751.4 18.0 25.2 570.9 -3.1 391.3
90749.7 18.0 16.2 559.0 -1.8 390.2
90749.1 18.0 12.4 548.4 -1.2 389.1
90748.4 17.9 8.6 539.0 -0.7 387.9
90748.2 17.9 6.9 530.9 -0.4 386.8
90749.6 17.8 11.8 524.0 -1.2 385.5
90747.7 17.7 3.3 518.1 0.2 384.3
90749.4 17.6 9.6 513.2 -0.9 383.0
90747.3 17.6 0.7 509.2 0.6 381.8
90747.6 17.5 1.5 505.9 0.4 380.4
90746.8 17.4 -1.7 503.3 1.0 379.1
90747.4 17.3 0.5 501.2 0.6 377.7
90746.5 17.3 -3.1 499.6 1.2 376.4
90746.9 17.2 -1.3 498.4 0.8 375.0
90746.3 17.2 -3.5 497.5 1.2 373.6
90745.6 17.1 -5.9 496.8 1.6 372.1
90743.3 17.1 -14.5 496.3 3.2 370.7
90744.2 17.1 -10.4 495.9 2.4 369.3
90742.8 17.0 -14.8 495.7 3.2 367.8
90739.6 17.0 -26.0 495.5 5.3 366.3
90741.3 17.0 -17.7 495.4 3.7 364.9
90741.6 17.0 -15.7 495.3 3.3 363.4
90743.3 17.0 -8.0 495.2 1.8 361.9
90739.6 17.0 -21.6 495.1 4.4 360.5
90743.4 16.9 -5.8 495.0 1.3 359.0
90744.0 16.9 -3.4 494.9 0.8 357.5
90743.2 16.9 -6.2 494.8 1.3 356.0
90745.2 16.9 1.7 494.6 -0.2 354.6
90747.3 16.9 9.6 494.5 -1.7 353.1
90743.0 16.9 -7.4 494.3 1.5 351.7
90745.6 16.9 2.7 494.2 -0.5 350.3
90744.8 16.9 -0.4 494.0 0.1 348.8
90745.8 16.9 3.4 493.8 -0.6 347.4
90744.9 16.9 -0.4 493.6 0.1 346.0
90747.2 16.9 8.1 493.4 -1.5 344.7
90747.6 16.9 8.9 493.2 -1.7 343.3
90750.5 16.9 19.1 493.0 -3.6 341.9
90752.0 16.9 23.5 492.8 -4.4 340.6
90749.9 16.9 13.6 492.6 -2.6 339.2
90750.3 16.9 14.0 492.4 -2.7 337.9
90753.6 16.9 25.5 492.3 -4.7 336.6
90752.5 16.9 19.5 492.1 -3.7 335.3
90751.9 16.9 15.9 491.9 -3.0 334.1
90751.9 16.9 14.6 491.8 -2.8 332.8
90751.1 16.9 10.2 491.6 -2.0 331.5
90751.5 16.9 11.1 491.5 -2.2 330.3
90750.9 16.9 8.0 491.3 -1.6 329.1
90750.1 16.9 4.2 491.2 -1.0 327.8
90749.4 16.9 1.4 491.1 -0.5 326.6
90748.4 16.9 -2.6 490.9 0.2 325.4
90748.5 16.9 -2.3 490.8 0.1 324.3
90748.1 16.9 -3.8 490.7 0.4 323.1
90746.3 16.9 -10.2 490.6 1.5 321.9
90746.9 16.9 -7.2 490.5 0.9 320.8
90747.2 16.9 -5.6 490.4 0.6 319.6
90747.5 16.9 -4.2 490.3 0.4 318.5
90752.6 16.9 15.2 490.2 -2.9 317.4
90755.4 16.9 24.8 490.2 -4.5 316.2
90751.9 16.9 9.4 490.1 -2.0 315.1
90751.2 16.9 6.1 490.0 -1.4 314.0
90753.2 16.9 13.4 489.9 -2.6 313.0
90755.4 16.9 20.5 489.8 -3.8 311.9
90754.0 16.9 13.7 489.8 -2.7 310.8
90754.8 16.9 15.6 489.7 -3.0 309.7
90751.5 16.9 1.7 489.6 -0.7 308.7
90751.1 16.9 0.3 489.6 -0.5 307.6
90751.3 16.9 0.7 489.5 -0.6 306.6
90750.8 16.9 -1.1 489.4 -0.3 305.6
90753.2 16.9 8.0 489.4 -1.8 304.5
90751.2 16.9 -0.3 489.3 -0.5 303.5
90750.8 16.9 -2.0 489.2 -0.2 302.5
90749.2 16.9 -7.8 489.2 0.7 301.5
90746.5 16.9 -17.5 489.1 2.2 300.5
90745.9 16.9 -18.7 489.0 2.4 299.5
90746.3 16.8 -15.9 489.0 2.0 298.5
90748.8 16.8 -5.4 488.9 0.3 297.5
90751.1 16.8 3.7 488.8 -1.2 296.6
90753.4 16.8 12.0 488.8 -2.5 295.6
90754.2 16.8 14.3 488.7 -2.9 294.6
90755.0 16.8 16.1 488.7 -3.2 293.7
90757.7 16.8 24.9 488.6 -4.5 292.7
90763.5 16.8 45.0 488.5 -7.6 291.8
90763.5 16.8 41.6 488.5 -7.1 290.9
90760.1 16.8 25.6 488.4 -4.6 289.9
90759.9 16.8 23.1 488.3 -4.3 289.0
90758.1 16.8 14.3 488.3 -2.9 288.1
90759.9 16.8 20.0 488.2 -3.8 287.2
90759.8 16.8 18.2 488.2 -3.5 286.3
90758.5 16.8 11.8 488.1 -2.5 285.4
90761.4 16.8 21.9 488.0 -4.1 284.5
90760.5 16.8 16.8 488.0 -3.3 283.6
90763.4 16.8 26.3 487.9 -4.8 282.7
90763.9 16.8 26.4 487.9 -4.8 281.8
90760.0 16.8 9.8 487.8 -2.3 280.9
90759.2 16.8 5.9 487.8 -1.7 280.1
90758.4 16.8 2.5 487.7 -1.2 279.2
90758.7 16.8 3.2 487.6 -1.3 278.4
90755.7 16.8 -8.3 487.6 0.4 277.5
90755.2 16.8 -9.8 487.5 0.6 276.7
90755.7 16.8 -7.2 487.5 0.2 275.8
90753.6 16.8 -14.5 487.4 1.2 275.0
90753.0 16.8 -15.8 487.4 1.4 274.1
90754.0 16.8 -11.0 487.3 0.7 273.3
90753.3 16.8 -13.1 487.2 1.0 272.5
90755.0 16.8 -5.8 487.2 -0.1 271.7
90758.4 16.8 7.3 487.1 -2.0 270.9
90758.2 16.8 6.0 487.1 -1.8 270.1
90755.7 16.8 -3.8 487.0 -0.4 269.3
90757.5 16.8 3.3 487.0 -1.4 268.5
90758.3 16.8 6.1 486.9 -1.8 267.7
90757.7 16.8 3.1 486.9 -1.4 266.9
90757.9 16.8 3.7 486.8 -1.5 266.1
90757.4 16.8 1.5 486.8 -1.2 265.3
90758.4 16.8 4.9 486.7 -1.7 264.5
90758.0 16.8 3.0 486.7 -1.5 263.8
90755.0 16.8 -8.7 486.6 0.2 263.0
90755.1 16.8 -7.7 486.5 0.0 262.2
90754.8 16.8 -8.2 486.5 0.1 261.5
90753.2 16.8 -14.0 486.4 0.9 260.7
90753.6 16.8 -11.3 486.4 0.5 260.0
90750.8 16.8 -21.1 486.3 1.8 259.2
90752.0 16.8 -15.1 486.3 1.0 258.5
90750.1 16.8 -21.4 486.2 1.8 257.8
90752.6 16.8 -10.3 486.2 0.3 257.0
90754.0 16.8 -4.3 486.1 -0.5 256.3
90756.1 16.8 3.6 486.1 -1.6 255.6
90754.2 16.8 -3.9 486.0 -0.6 254.9
90751.1 16.8 -15.2 486.0 0.9 254.2
90752.9 16.8 -7.3 486.0 -0.2 253.4
90753.9 16.8 -3.0 485.9 -0.8 252.7
90753.5 16.8 -4.6 485.9 -0.6 252.0
90752.5 16.8 -8.1 485.8 -0.1 251.3
90755.5 16.8 3.8 485.8 -1.7 250.6
90756.5 16.8 7.1 485.7 -2.2 249.9
90751.8 16.8 -11.2 485.7 0.3 249.3
90754.0 16.8 -2.1 485.6 -1.0 248.6
90754.2 16.8 -1.1 485.6 -1.1 247.9
90756.0 16.8 5.5 485.5 -2.0 247.2
90756.8 16.8 8.0 485.5 -2.3 246.6
90754.4 16.8 -1.5 485.4 -1.1 245.9
90754.6 16.8 -0.7 485.4 -1.2 245.2
90754.0 16.8 -3.2 485.3 -0.9 244.6
90754.2 16.8 -2.2 485.3 -1.0 243.9
90755.1 16.8 1.3 485.3 -1.5 243.2
90755.3 16.8 1.7 485.2 -1.6 242.6
90754.4 16.8 -1.7 485.2 -1.1 242.0
90754.6 16.8 -0.9 485.1 -1.2 241.3
90754.1 16.8 -2.9 485.1 -1.0 240.7
90754.6 16.8 -0.9 485.0 -1.3 240.0
90754.6 16.8 -0.7 485.0 -1.3 239.4
90752.6 16.8 -8.4 485.0 -0.3 238.8
90751.5 16.8 -11.9 484.9 0.1 238.1
90756.0 16.8 5.7 484.9 -2.1 237.5
90755.2 16.8 2.5 484.8 -1.7 236.9
90754.0 16.8 -2.5 484.8 -1.1 236.3
90750.9 16.8 -14.1 484.7 0.4 235.7
90751.2 16.8 -11.9 484.7 0.1 235.1
90749.2 16.8 -18.8 484.7 0.9 234.5
90748.3 16.8 -20.9 484.6 1.2 233.8
90751.1 16.8 -8.9 484.6 -0.4 233.2
90752.0 16.8 -4.7 484.5 -0.9 232.6
90754.9 16.8 6.3 484.5 -2.3 232.1
90756.8 16.8 13.1 484.5 -3.1 231.5
90757.6 16.8 15.1 484.4 -3.4 230.9
90757.0 16.8 11.4 484.4 -2.9 230.3
90757.7 16.8 13.3 484.3 -3.2 229.7
90758.3 16.8 14.4 484.3 -3.3 229.1
90760.9 16.8 23.0 484.3 -4.4 228.6
90759.6 16.8 16.5 484.2 -3.6 228.0
90756.2 16.8 2.3 484.2 -1.8 227.4
90755.9 16.8 1.1 484.1 -1.7 226.8
90754.3 16.8 -5.2 484.1 -0.9 226.3
90753.0 16.8 -9.6 484.1 -0.4 225.7
90752.3 16.8 -11.7 484.0 -0.2 225.2
90752.3 16.8 -10.8 484.0 -0.3 224.6
90748.6 16.8 -24.0 484.0 1.3 224.0
90751.9 16.8 -10.1 483.9 -0.4 223.5
90754.0 16.8 -1.6 483.9 -1.4 222.9
90754.9 16.8 2.0 483.8 -1.9 222.4
90757.5 16.8 11.4 483.8 -3.0 221.9
90755.5 16.8 3.2 483.8 -2.0 221.3
90754.4 16.8 -1.4 483.7 -1.5 220.8
90751.9 16.8 -10.6 483.7 -0.4 220.2
