KF4 Log
z Pzz v Pvv atrue Paa abias Pbb
90741.0 92.3 -0.0 402.0 -0.3 32758.6 -0.0 400.0
90741.4 52.2 0.0 413.7 -2.6 35528.9 -0.0 400.0
90741.3 36.5 -0.1 430.8 -4.9 35757.3 0.0 400.0
90742.4 28.3 0.4 449.0 -4.0 35775.7 -0.0 400.0
90740.8 23.3 -1.0 466.4 -4.6 35777.2 0.1 400.0
90741.1 20.1 -0.6 482.4 4.5 35777.3 0.0 400.0
90740.4 18.0 -1.7 496.2 14.9 35777.3 0.1 399.9
90738.5 16.6 -5.1 507.5 8.0 35777.3 0.5 399.9
90740.0 15.7 -1.0 515.9 0.1 35777.3 0.1 399.7
90741.8 15.2 3.8 521.1 -30.2 35777.3 -0.5 399.5
90746.2 14.9 16.6 523.0 -75.7 35777.3 -2.0 399.3
90745.0 14.8 10.6 521.6 28.0 35777.3 -1.4 398.9
90744.7 14.8 9.0 517.2 -1.6 35777.3 -1.2 398.5
90745.2 15.0 10.4 510.0 -17.9 35777.3 -1.4 397.9
90743.7 15.2 3.5 500.5 -13.2 35777.3 -0.4 397.2
90744.5 15.4 5.9 489.2 -1.5 35777.3 -0.8 396.4
90748.3 15.6 20.4 476.7 -9.0 35777.3 -3.1 395.5
90749.0 15.8 21.4 463.4 -7.8 35777.3 -3.3 394.5
90748.2 15.9 16.4 449.9 -2.5 35777.3 -2.5 393.4
90748.3 16.1 15.5 436.4 -8.8 35777.3 -2.3 392.2
90748.8 16.1 16.1 423.4 -3.4 35777.3 -2.4 390.9
90750.9 16.2 22.7 411.1 -0.0 35777.3 -3.7 389.6
90749.4 16.2 15.4 399.6 -7.0 35777.3 -2.3 388.1
90748.9 16.2 12.4 389.1 -3.8 35777.3 -1.7 386.6
90748.3 16.2 9.3 379.6 -6.7 35777.3 -1.0 385.1
90748.2 16.1 7.9 371.1 -6.0 35777.3 -0.8 383.5
90749.5 16.1 12.0 363.7 -0.9 35777.3 -1.7 381.8
90747.8 16.0 5.0 357.1 -6.2 35777.3 -0.1 380.1
90749.4 15.9 10.0 351.5 -6.1 35777.3 -1.3 378.3
90747.5 15.8 2.8 346.6 -7.2 35777.3 0.5 376.5
90747.7 15.7 3.3 342.5 -6.5 35777.3 0.3 374.6
90747.0 15.7 0.5 339.1 -7.5 35777.3 1.0 372.7
90747.6 15.6 2.2 336.2 -4.8 35777.3 0.5 370.8
90746.8 15.5 -0.9 333.8 -8.4 35777.3 1.3 368.8
90747.2 15.4 0.4 331.9 -7.4 35777.3 0.9 366.8
90746.6 15.3 -1.6 330.4 -5.9 35777.3 1.4 364.7
90746.0 15.3 -3.7 329.2 -8.8 35777.3 2.0 362.6
90743.9 15.2 -10.7 328.2 -10.6 35777.3 4.0 360.5
90744.6 15.2 -7.8 327.5 -9.6 35777.3 3.1 358.3
90743.4 15.1 -11.6 326.9 -9.2 35777.3 4.1 356.2
90740.5 15.1 -20.8 326.4 -12.6 35777.3 6.8 353.9
